question,summary_answer,difficulty,intent,filename
data definition in Evidently,The article describes how to create a `DataDefinition` object to map column types and roles essential for data evaluation in Evidently.,beginner,text,docs/library/data_definition.mdx
Evidently Dataset setup example,"It provides a step-by-step setup for creating a `Dataset` object using a `DataDefinition`, including code snippets to guide implementation.",beginner,code,docs/library/data_definition.mdx
mapping column roles in Evidently,"The article explains how to define column roles like target, prediction, and id in `DataDefinition` for proper data evaluation.",intermediate,text,docs/library/data_definition.mdx
Evidently create DataDefinition example,An example is provided to show how to create and use a `DataDefinition` for mapping different column types in a dataset.,beginner,code,docs/library/data_definition.mdx
automatic column mapping Evidently,The article details how to use an empty `DataDefinition()` for automatic mapping of columns by type and name when creating a `Dataset` object.,intermediate,text,docs/library/data_definition.mdx
pandas DataFrame to Dataset,"It explains how to convert a pandas DataFrame to a Dataset object in Evidently, highlighting the importance of a proper `DataDefinition` mapping.",intermediate,code,docs/library/data_definition.mdx
different column types mapping,"The article outlines how to map various column types like numerical, categorical, and text in the `DataDefinition`, essential for evaluations.",beginner,text,docs/library/data_definition.mdx
specify text columns Evidently,"It provides guidance on specifying text columns in `DataDefinition` for LLM evaluations, including code examples.",intermediate,code,docs/library/data_definition.mdx
exclusions in DataDefinition mapping,"The article points out that columns excluded during mapping will not be considered in evaluations, emphasizing the significance of careful mapping.",intermediate,text,docs/library/data_definition.mdx
regression mapping in Evidently,"Guidance is provided on how to set up regression checks in `DataDefinition`, including how to define target and prediction columns.",advanced,code,docs/library/data_definition.mdx
column type defaults Evidently,"The article lists default column types applied during automated mapping when no explicit `DataDefinition` is provided, enhancing user understanding.",beginner,text,docs/library/data_definition.mdx
text data evaluation descriptors,"Descriptors are a universal interface for evaluating text data, allowing you to compute scores or labels for each row in your dataset.",beginner,text,docs/library/descriptors.mdx
how to create descriptors for text,You can create descriptors using built-in options or define custom ones using Python functions or LLM prompts to evaluate text data.,beginner,code,docs/library/descriptors.mdx
Python code for text descriptors,The article provides Python code snippets to import necessary modules and create descriptors for evaluating text datasets.,beginner,code,docs/library/descriptors.mdx
using LLM for text evaluation,You can use built-in LLM-based descriptors to evaluate text and return scores or labels based on external language model outputs.,intermediate,code,docs/library/descriptors.mdx
exporting results from descriptors,"Results from evaluations with descriptors can be exported or summarized, allowing for further analysis or reporting.",intermediate,code,docs/library/descriptors.mdx
text statistics descriptors,"Descriptors can compute various text statistics, allowing for detailed evaluations of responses and their content.",beginner,text,docs/library/descriptors.mdx
