question,expected_approach,difficulty,category,source
Show me emails from the last 7 days,Use elasticsearch_search with date_from parameter,beginner,date-based search,manual_q1
What emails from my boss are unread?,Use elasticsearch_search with sender filter and search_text,beginner,sender + status search,manual_q1
Find all conversation with john@company.com,Use conversation_history tool for complete thread,intermediate,conversation threading,manual_q1
Show me emails with invoices,Use search_attachments for PDF/document content,intermediate,attachment search,manual_q1
What emails mention budget?,Use elasticsearch_search with keyword,beginner,keyword search,manual_q1
Show me all emails from last month.,Use elasticsearch_search with date_from parameter for last month,beginner,date-based search,llm_generated
Find unread emails from my project manager.,Use elasticsearch_search with sender filter and status filter for unread,beginner,sender + status search,llm_generated
Get me the full conversation with sarah@company.com.,Use conversation_history tool for complete thread,intermediate,conversation threading,llm_generated
Show me emails that have contracts attached.,Use search_attachments for specific document types,intermediate,attachment search,llm_generated
What emails have the word 'meeting' in them?,Use elasticsearch_search with keyword for 'meeting',beginner,keyword search,llm_generated
Find all emails sent to my team in the past week.,Use elasticsearch_search with recipient filter and date range,beginner,recipient + date search,llm_generated
Where are the emails containing the word 'proposal' from last quarter?,Use elasticsearch_search with keyword and date range filter,intermediate,keyword + date search,llm_generated
Retrieve all conversations related to the 'Project X' email thread.,Use conversation_history tool for specific thread based on subject,intermediate,conversation threading,llm_generated
Send me the emails with attachments larger than 5MB.,Use search_attachments with size filter,advanced,attachment size search,llm_generated
What emails have a high priority flag?,Use elasticsearch_search with priority filter,beginner,status search,llm_generated
Get me unread emails from all sales team members.,Use elasticsearch_search with multiple sender filters and status filter,intermediate,sender + status search,llm_generated
Find all emails from clients with the subject 'Feedback'.,Use elasticsearch_search with sender filter and subject keyword,beginner,subject + sender search,llm_generated
Show me all emails that mention the word 'urgent' sent by my supervisor.,Use elasticsearch_search with sender filter and keyword,intermediate,sender + keyword search,llm_generated
Retrieve all emails from the past three months that include any attachments.,Use elasticsearch_search with date range and attachment filter,intermediate,date + attachment search,llm_generated
What emails did I receive from my CEO last week?,Use elasticsearch_search with sender filter and date range,beginner,sender + date search,llm_generated
Find the email attachments related to the budget review.,Use search_attachments with keyword 'budget review',intermediate,attachment keyword search,llm_generated
Show me emails that are flagged as important but not yet read.,Use elasticsearch_search with flag filter and status filter,intermediate,status + flag search,llm_generated
List all emails sent to my team during the last company retreat.,Use elasticsearch_search with recipient filter and date range,beginner,recipient + date search,llm_generated
What emails do I have that reference my last vacation?,Use elasticsearch_search with keyword for 'vacation',beginner,keyword search,llm_generated
Get all emails from my accountant regarding the tax documents.,Use elasticsearch_search with sender filter and subject keyword,intermediate,sender + subject search,llm_generated
